"Mapping","Protein.IDs"
"Tagln2;Tagln3","P37805;A0A0G2K6I5;Q5XFX0"
"Taldo1","Q9EQS0"
"Tf","P12346;A0A0G2QC06"
"Tfrc","Q99376"
"Tgfbi","D4A8G5"
"Thbs1","M0R979;A0A0G2JV24"
"Tkt","G3V826;P50137"
"Tln1;Tln2","D3ZA84;D4A3B0;G3V852;D3ZE09"
"Tmcc1","D3ZH14"
"Tmsb10;Tmsb4x;Cep192","D4A3X0;P63312;P62329;M0R7Y9;A0A0G2K021"
"Tpi1;LOC100911515","P48500;A0A0G2JWU1;A0A0G2JWJ4"
"Ttr","P02767"
"Tuba4a","Q5XIF6"
"Txn1;Txn","R4GNK3;P11232"
"Ubb;Ubc;Rps27a-ps28;Rps27a;Uba52","F1M927;Q63429;P62982;F1LU69;P62986;P0CG51;F1LML2"
"Ube2n","Q9EQX9"
"Ube2v2;LOC100912618","F1M227;D3ZFY8;A0A0G2JU07"
"Vasn","D3ZAE6"
"Vcam1","P29534;A0A0G2K127"
"Vcl","A0A0G2K8V2;P85972;R9PXU6"
"Vnn3","D4A183"
"Vps13c","D4A4K4"
"Vtn","Q3KR94;Q7TQ11"
"Vwf","Q62935;F1M957"
"Xirp2","F1LMC2;Q71LX6"
"Xpnpep2","Q99MA2"
